children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,purpose_short
1,-8437.673027760233,42,masters degree,0,married,0,F,employee,0,253875.6394525987,purchase of the house,house
1,-4024.803753850451,36,secondary education,1,married,0,F,employee,0,112080.01410244204,car purchase,car
0,-5623.422610230956,33,Secondary Education,1,married,0,M,employee,0,145885.95229686378,purchase of the house,house
3,-4124.747206540018,32,secondary education,1,married,0,M,employee,0,267628.5503294142,supplementary education,education
0,340266.07204682194,53,secondary education,1,civil partnership,1,F,retiree,0,158616.07787006293,to have a wedding,wedding
0,-926.1858308789184,27,masters degree,0,civil partnership,1,M,partner,0,255763.56541904988,purchase of the house,house
0,-2879.202052139952,43,masters degree,0,married,0,F,partner,0,240525.9719203061,housing transactions,house
0,-152.7795691752705,50,SECONDARY EDUCATION,1,married,0,M,employee,0,135823.93419727974,education,education
2,-6929.865298973741,35,MASTERS DEGREE,0,civil partnership,1,F,employee,0,95856.83242386371,having a wedding,wedding
0,-2188.7564450779378,41,secondary education,1,married,0,M,employee,0,144425.93827708642,purchase of the house for my family,house
2,-4171.483646903305,36,masters degree,0,married,0,M,partner,0,113943.4914603043,buy real estate,estate
0,-792.7018870609315,40,secondary education,1,married,0,F,employee,0,77069.23427130934,buy commercial real estate,estate
0,,65,secondary education,1,civil partnership,1,M,retiree,0,,to have a wedding,wedding
0,-1846.6419410560736,54,bachelor degree,2,married,0,F,employee,0,130458.22885695784,car purchase,car
0,-1844.9561821875543,56,masters degree,0,civil partnership,1,F,partner,1,165127.9117721805,buy residential real estate,estate
1,-972.3644189900732,26,secondary education,1,married,0,F,employee,0,116820.90444993383,construction of own property,property
0,-1719.9342261530542,35,secondary education,1,married,0,F,employee,0,289202.7042292056,property,property
0,-2369.999720209008,33,masters degree,0,civil partnership,1,M,employee,0,90410.58674466488,building a property,property
0,400281.1369125588,53,secondary education,1,widow / widower,2,F,retiree,0,56823.7772431838,buying a second-hand car,car
0,-10038.818548915877,48,SECONDARY EDUCATION,1,divorced,3,F,employee,0,242831.107981772,buying my own car,car
1,-1311.6041664289485,36,secondary education,1,married,0,M,employee,0,209552.64457761557,property,property
